edu,sort,lat,lon
21222335,ДОО,55.567212,37.476627
22101510,Школы,55.88828,37.60792
21282321,ДОО,55.571163,37.476997
21312324,ДОО,55.54721,37.482571
21352319,ДОО,55.562682,37.50042
214214,ДОО,55.72509,37.476639
214621,Школы,55.723051,37.408288
7c04ddbb-01b0-46d1-9993-6413a9e8e49a,Школы,55.75384,37.655473
21412326,ДОО,55.542146,37.488166
21474260,ДОО,55.48052,37.391562
21504263,Школы,55.521859,37.212111
21532254,Школы,55.600833,37.359777
21542245,Школы,55.602868,37.344226
21692193,ДОО,55.639481,37.321755
21732189,ДОО,55.634093,37.322077
21802337,Школы,55.543061,37.495523
21873162,Школы,55.609659,37.588721
220576,Школы,55.742878,37.410484
219357,Школы,55.643944,37.395323
21923610,ДОО,55.722219,37.785273
2273805,Школы,55.64863,37.393774
21942248,ДОО,55.600662,37.35342
21983207,Школы,55.587701,37.594785
22074276,Школы,55.8015,37.346659
22113776,Школы,55.649558,37.599706
2214827,Школы,55.671499,37.470768
22234117,ДОО,55.552236,37.570085
527529,ДОО,55.806876,37.460955
22314126,ДОО,55.503388,37.584862
22331369,Школы,55.872039,37.494856
22421289,ДОО,55.867146,37.465096
225225,Школы,55.779974,37.463811
22592,Школы,55.817669,37.715858
22603295,ДОО,55.702804,37.774
237237,Школы,55.861247,37.463519
22793138,Школы,55.616912,37.585394
22853153,ДОО,55.610523,37.594881
22863151,ДОО,55.612297,37.576083
22873152,ДОО,55.610826,37.596638
22913215,Школы,55.696092,37.815056
22983245,Школы,55.686484,37.862306
232274,ДОО,55.55049,37.487812
23332760,Школы,55.581988,37.651437
23422848,ДОО,55.617667,37.732876
23442555,Школы,55.756535,37.568141
23662691,ДОО,55.733868,37.617526
23862727,ДОО,55.580794,37.664586
23872442,ДОО,55.77324,37.689527
24072460,Школы,55.743102,37.625988
24192535,ДОО,55.757233,37.542158
24252167,Школы,55.846642,37.456189
24322129,Школы,55.789947,37.478122
24424239,ДОО,55.994549,37.215822
245658,Школы,55.646643,37.349303
24551972,Школы,55.825122,37.4493
24592027,Школы,55.812228,37.406406
246659,Школы,55.642608,37.341368
24601940,ДОО,55.842199,37.380082
631633,ДОО,55.680799,37.456765
24621946,ДОО,55.850014,37.360725
24661954,ДОО,55.837924,37.384261
24731920,ДОО,55.843699,37.358798
2474132,Школы,55.813278,37.818369
24821968,ДОО,55.831032,37.449171
24861923,Школы,55.841615,37.361245
249609,Школы,55.712727,37.405434
2504039,Школы,55.672178,37.567138
25791619,ДОО,55.882271,37.689456
25062049,ДОО,55.804126,37.413802
25091734,Школы,55.835649,37.660694
25441562,ДОО,55.900422,37.575814
25483287,ДОО,55.629537,37.795826
25611792,Школы,55.935358,37.556373
25771583,ДОО,55.893936,37.570175
25871574,Школы,55.89343,37.58135
25941114,Школы,55.817997,37.50695
3bfea8b7-aaca-4f47-928b-71d296146396,Школы,55.590781,37.375313
25951603,ДОО,55.883518,37.695054
26081686,ДОО,55.860577,37.608875
26201332,Школы,55.809477,37.495733
26271384,ДОО,55.865474,37.486885
26281396,Школы,55.862447,37.503024
263263,ДОО,55.570328,37.465716
168d7129-d3a4-4591-84c9-dc002aa78f1f,ДОО,55.635776,37.317599
263360,ДОО,55.763264,37.789754
26351527,ДОО,55.896088,37.600702
26451485,ДОО,55.864724,37.671394
26622496,ДОО,55.789227,37.638779
267267,ДОО,55.931645,37.369227
2673234,Школы,55.7173,37.802469
26861246,Школы,55.844608,37.544786
270309,Школы,55.741766,37.872469
27031278,ДОО,55.872108,37.46598
2708958,Школы,55.997862,37.202494
