УИН,количество этажей всего,высота объекта,Этажность объекта подземная,Этажность объекта наземная,Количество квартир,Общая площадь объекта,Площадь жилых помещений объекта,lon,lat,pricemetr,metroprox,rwprox,medprox,kidprox,schoolprox,cemetprox,industrprox,liveratio,highratio
HH3998-10-0002-001,25.0,82.152,1.0,24.0,192.0,17315.0,12573.3,37.4652102607594,55.66774668561155,0.32453894857918375,0.016709825988785846,0.02177809056332612,0.0036913534747926185,0.0030908512582152933,0.0011982612506768872,0.014541532912221539,0.023553293308986784,0.7261507363557609,3.423
HH6750-10-0001-001,13.0,51.45,2.0,11.0,81.0,17961.0,8828.0,37.557234214081355,55.74884738278987,0.6395964713317009,0.009324816425952896,0.011221306434720649,0.0018963753466546987,0.005215727396695954,0.004224455934383316,0.017079028055354387,0.009423013357009407,0.4915093814375592,4.677272727272728
GI9364-10-0001-001,9.0,33.24,1.0,9.0,369.0,20675.1,15017.3,37.31208735326336,55.55842415811994,0.16404749287966955,0.07902592152641061,0.05189331003856599,0.014037215867765384,0.000970478618426517,0.000970478618426517,0.03088566410898625,0.044522927409598505,0.7263471518880199,3.6933333333333334
HH2966-10-0002-001,17.0,55.0,2.0,15.0,143.0,14178.8,8283.8,37.43242794611273,55.72323882694447,0.2546315927473295,0.01549750921962371,0.014645921824970393,0.0021732064386847704,0.0008773682296028975,0.003978730779377038,0.020325070294995168,0.010470283451311128,0.5842384404886168,3.6666666666666665
HH4325-10-0002-001,24.0,79.53,,24.0,230.0,17290.0,12946.3,37.47611371923636,55.79152313325688,0.38656989373163936,0.017524322401540185,0.02192356064013327,0.011845327679924904,0.00590694083674535,0.0025529174818349136,0.053332079785337265,0.012879759160028162,0.7487738577212261,3.31375
HH9687-10-0003-001,15.0,55.26,1.0,14.0,458.0,54187.8,30390.6,37.65410617965702,55.68756345374969,0.29302421151912883,0.011975443694406422,0.01209049733883781,0.007842807662858666,0.004696854703040248,0.006380923251205652,0.04795491044560744,0.01341197689575618,0.5608384175035709,3.947142857142857
HH7036-10-0001-001,36.0,119.8,2.0,34.0,691.0,102367.31,55108.47,37.5729241167751,55.77299777058086,0.6177213543234693,0.0112766408588816,0.018242319604323463,0.010077506772050488,0.0013129480561663897,0.004819972705656293,0.019571178544346483,0.005058684135721557,0.5383405112432865,3.523529411764706
HH9473-10-0002-001,18.0,57.75,2.0,16.0,122.0,32885.6,10952.8,37.64665907085927,55.70945681466064,0.32679200977989004,0.011308344031276328,0.0106000364992792,0.010052332222991301,0.0014262036960252793,0.006618073906254357,0.03815226828414763,0.012339371822626557,0.333057630087333,3.609375
HG6383-10-0002-001,31.0,98.4,1.0,30.0,687.0,42561.4,28113.0,37.54572496862938,55.85970268686655,0.3522427645053997,0.00706082258110288,0.010602736705682344,0.003223039099301649,3.858656973091457e-05,0.0020232596198302513,0.04764738234120194,0.017949211762001725,0.6605280841325708,3.2800000000000002
HI4373-10-0002-001,18.0,52.56,1.0,17.0,426.0,32693.8,21886.5,37.47890921491448,55.54476172253753,0.2129004836545721,0.01920151909142863,0.04412647008180993,0.007419873456193856,0.004404853294466391,0.0011501463057324232,0.030466638063199446,0.07469343037200574,0.6694388538499655,3.091764705882353
HH0417-10-0001-001,26.0,77.725,1.0,25.0,1368.0,100329.8,60844.9,37.35045224995343,55.80330009225213,0.2222609474894443,0.025772545505744173,0.021014098643838013,0.01592515443599145,0.003643408749197574,0.00419869948023741,0.02576806301742068,0.019973029714611637,0.6064489314241631,3.109
HH5364-10-0001-001,43.0,149.41,3.0,40.0,1890.0,247644.55,122681.93,37.515034202955015,55.72705771366496,0.7296530454511967,0.009571631300810103,0.006484230469133823,0.014534816299764676,0.006242612938070515,0.007153335612337614,0.040888991680480824,0.022930982744677836,0.49539523482345965,3.7352499999999997
